dataset	branch	set_id	set_name	deposited_N	expressed_N	background_N	testable
GSE252275	LOO_sepsis_preserve_3	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_3	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_3	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_3	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_4	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_5	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_6	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_7	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_8	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_9	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_10	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_preserve_11	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_decrease_1	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_decrease_2	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_decrease_3	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_decrease_4	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_decrease_5	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-114608	Platelet degranulation	128	98	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-72613	Eukaryotic Translation Initiation	124	116	11681	TRUE
GSE252275	LOO_sepsis_decrease_6	R-HSA-189451	Heme biosynthesis	14	12	11681	TRUE
GSE252275	LOO_sepsis_decrease_7	R-HSA-5368287	Mitochondrial translation	137	108	11681	TRUE
GSE252275	LOO_sepsis_decrease_7	R-HSA-611105	Respiratory electron transport	159	140	11681	TRUE
GSE252275	LOO_sepsis_decrease_7	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	109	11681	TRUE
GSE252275	LOO_sepsis_decrease_7	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	50	11681	TRUE
GSE252275	LOO_sepsis_decrease_7	R-HSA-76002	Platelet activation, signaling and aggregation	262	206	11681	TRUE
